# LIFTED VERBATIM from session-lab logs/icl.log (13678 bytes, unmodified). ICL table source; VERDICT JSON at end has all 12 conditions.
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: off-trie at 'route', falling back
Constrained decoding: off-trie at 'route', falling back
Constrained decoding: off-trie at 'route', falling back
Constrained decoding: off-trie at 'route_', falling back
Constrained decoding: off-trie at 'route_', falling back
Constrained decoding: off-trie at 'route_', falling back
Constrained decoding: off-trie at 'route_c', falling back
Constrained decoding: off-trie at 'route_c', falling back
Constrained decoding: off-trie at 'route_c', falling back
Constrained decoding: off-trie at 'route_class', falling back
Constrained decoding: off-trie at 'route_class', falling back
Constrained decoding: off-trie at 'route_class', falling back
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: off-trie at 'mode', falling back
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: off-trie at 'mode', falling back
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: off-trie at 'mode', falling back
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: off-trie at 'route', falling back
Constrained decoding: off-trie at 'route', falling back
Constrained decoding: off-trie at 'route', falling back
Constrained decoding: off-trie at 'route', falling back
Constrained decoding: off-trie at 'route', falling back
Constrained decoding: off-trie at 'route_', falling back
Constrained decoding: off-trie at 'route_', falling back
Constrained decoding: off-trie at 'route_', falling back
Constrained decoding: off-trie at 'route_', falling back
Constrained decoding: off-trie at 'route_', falling back
Constrained decoding: off-trie at 'route_c', falling back
Constrained decoding: off-trie at 'route_c', falling back
Constrained decoding: off-trie at 'route_c', falling back
Constrained decoding: off-trie at 'route_c', falling back
Constrained decoding: off-trie at 'route_c', falling back
Constrained decoding: off-trie at 'route_class', falling back
Constrained decoding: off-trie at 'route_class', falling back
Constrained decoding: off-trie at 'route_class', falling back
Constrained decoding: off-trie at 'route_class', falling back
Constrained decoding: off-trie at 'route_class', falling back
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: off-trie at 'mode', falling back
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: off-trie at 'mode', falling back
Constrained decoding: off-trie at 'mode', falling back
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: off-trie at 'mode', falling back
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: off-trie at 'mode', falling back
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: off-trie at 'route', falling back
Constrained decoding: off-trie at 'route', falling back
Constrained decoding: off-trie at 'route', falling back
Constrained decoding: off-trie at 'route', falling back
Constrained decoding: off-trie at 'route', falling back
Constrained decoding: off-trie at 'route', falling back
Constrained decoding: off-trie at 'route', falling back
Constrained decoding: off-trie at 'route_', falling back
Constrained decoding: off-trie at 'route_', falling back
Constrained decoding: off-trie at 'route_', falling back
Constrained decoding: off-trie at 'route_', falling back
Constrained decoding: off-trie at 'route_', falling back
Constrained decoding: off-trie at 'route_', falling back
Constrained decoding: off-trie at 'route_', falling back
Constrained decoding: off-trie at 'route_c', falling back
Constrained decoding: off-trie at 'route_c', falling back
Constrained decoding: off-trie at 'route_c', falling back
Constrained decoding: off-trie at 'route_c', falling back
Constrained decoding: off-trie at 'route_c', falling back
Constrained decoding: off-trie at 'route_c', falling back
Constrained decoding: off-trie at 'route_c', falling back
Constrained decoding: off-trie at 'route_class', falling back
Constrained decoding: off-trie at 'route_class', falling back
Constrained decoding: off-trie at 'route_class', falling back
Constrained decoding: off-trie at 'route_class', falling back
Constrained decoding: off-trie at 'route_class', falling back
Constrained decoding: off-trie at 'route_class', falling back
Constrained decoding: off-trie at 'route_class', falling back
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: off-trie at 'mode', falling back
Constrained decoding: off-trie at 'mode', falling back
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: off-trie at '\\', falling back
Constrained decoding: off-trie at '\\u', falling back
Constrained decoding: off-trie at '\\u00', falling back
Constrained decoding: off-trie at '\\u00f', falling back
Constrained decoding: off-trie at '\\u00f7', falling back
Constrained decoding: off-trie at '\\u00f7\\', falling back
Constrained decoding: off-trie at '\\u00f7\\u', falling back
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: off-trie at 'mode', falling back
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: no valid tokens found, falling back to unconstrained
Constrained decoding: no valid tokens found, falling back to unconstrained
